ID,TITLE,AUTHOR,NR,GEN,DESCRIERE,COVER,
1,The Lord Of The Rings,J.R.R.Tolkien,10,Fantasy,"An epic fantasy trilogy following Frodo Baggins as he journeys to destroy a powerful ring. It explores themes of heroism, friendship, corruption, and sacrifice in a richly built world of elves, dwarves, and dark lords.",https://prodimage.images-bn.com/pimages/9780547928210_p0_v5_s600x595.jpg,
2,The Silmarillion,J.R.R.Tolkien,10,Fantasy,"A mythopoeic collection chronicling the creation of Tolkien’s world, focusing on the First Age. It explores the tragic tales of powerful beings, the forging of the Silmarils, and the origin of evil in Middle-earth.",https://cdn.kobo.com/book-images/2e2f06e1-7294-4151-81f2-4038f439738f/1200/1200/False/the-silmarillion.jpg,
3,The Hobbit,J.R.R.Tolkien,7,Fantasy,"Bilbo Baggins, a reluctant hobbit, joins dwarves on a quest to reclaim treasure from the dragon Smaug. It's a lighter, adventurous prelude to The Lord of the Rings, blending humor, danger, and transformation.",https://m.media-amazon.com/images/I/712cDO7d73L.jpg,
4,The Chidren of Turin,J.R.R.Tolkien,8,Fantasy,"A tragic tale from the First Age, following Túrin Turambar’s cursed life, shaped by fate and Morgoth’s malice. It echoes Greek tragedy with themes of pride, doom, and heroic failure.",https://tolkienlibrary.com/press/images/children-of-hurin-translations/hurins-barn.jpg,
5,Unfinished Tales,J.R.R.Tolkien,6,Fantasy,"A compilation of stories from Tolkien’s legendarium, offering deeper insight into characters, places, and events not fully covered elsewhere. It bridges gaps and expands the lore of Middle-earth across all ages.",https://m.media-amazon.com/images/I/71g6NrSpqXL.jpg,
6,The Fall of Numenor,J.R.R.Tolkien,8,Fantasy,"A collection centered on the Second Age, detailing the rise and eventual downfall of Númenor, the great island kingdom. It reflects on pride, mortality, and the consequences of defying divine will.",https://cdn.ozone.ro/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/60209dfb288e41b04dd85286cb141f2e/the-fall-of-numenor-30.jpg,
7,Metro 2033,Dmitri A.Gluhosvki,5,SF,"In post-apocalyptic Moscow, survivors live in the metro system after nuclear war. Artyom journeys through the tunnels facing mutants, factions, and psychological horrors. A bleak, atmospheric tale of survival and humanity’s remnant",https://static.editura-art.ro/image/372665/metro-2033-cover_big.jpg,
8,Metro 2034,Dmitri A.Gluhosvki,5,SF,"A companion story in the same universe, focusing on a different set of characters. It explores themes of disillusionment, leadership, and the fragile hope in a desolate underground world haunted by the past.",https://static.editura-art.ro/image/372667/metro-2034-cover_big.jpg,
9,Metro 2035,Dmitri A.Gluhosvki,5,SF,"The final chapter of Artyom’s saga, revealing hidden truths behind the metro's isolation. It critiques propaganda, control, and the cost of seeking truth in a shattered, manipulated world.",https://gomagcdn.ro/domains2/lumeadepoveste.ro/files/product/large/metro-2035-510124.jpg,
10,The Idiot,Fyodor M. Dostoevski,2,Classic,"Dostoevsky’s exploration of purity and morality in society, featuring Prince Myshkin, whose goodness is misunderstood and exploited. It delves into love, madness, and the tragic fate of an idealistic man in a corrupt world.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657539107i/12505.jpg,
11,Crime and Punishment,Fyodor M. Dostoevski,1,Classic,"Raskolnikov murders a pawnbroker believing it justified, but guilt torments him. Dostoevsky probes morality, redemption, and psychological conflict, creating a gripping portrait of inner turmoil and the possibility of spiritual salvation.",https://static.okian.ro/media/catalog/product/import/9781840228564.jpg,
12,Demons,Fyodor M. Dostoevski,5,Classic,"A political and philosophical novel about a radical group plotting revolution in Russia. It critiques nihilism, ideological extremism, and the moral collapse of society through chaos, manipulation, and betrayal.",https://cdn4.libris.ro/img/pozeprod/29934/29933708-1.jpg,
13,Thus Spoketh Zarathustra,Friedrich Nietzsche,8,Classic,"Nietzsche’s philosophical novel introduces ideas like the Übermensch, eternal recurrence, and the death of God. Through poetic, prophetic prose, Zarathustra delivers a radical vision of individual transformation and overcoming traditional values.",https://www.rebind.ai/images/books/thus_spoke_zarathustra_book_details.png,
14,War and Peace,Lev N. Tolstoy,10,Classic,"A sweeping novel set during the Napoleonic Wars, intertwining historical events with the personal lives of Russian aristocrats. It explores fate, free will, love, and the impact of war on society and individuals.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681127703i/125209426.jpg,
